"RelPath","SizeBytes","LastWriteUtc","Fingerprint"
"Project\Birthday_Card\Birthday_Card.html","7754","2024-09-22T02:40:10.5026602Z","9757636779EC7ED4ABB8C909A960DA13219862F806E75347251216F1A94384DC"
"Project\Birthday_Card\Guide.txt","170","2024-09-21T17:07:35.8031084Z","A47C13784A8BBDE37F19A20B3CEFB1A452316686CE829DC3F3026DE5DA970E73"
"Project\Birthday_Card\README.md","16","2026-02-03T03:15:38.8447483Z","28F3ED4B349E1559698791046FAA3450086ACCC72494BE962F2745A0817102F3"
"Project\escobar 1.0\index.html","25008","2026-01-31T07:13:41.3513802Z","124DC20667E45DF65CE75DDD709AD6A0347567607321514FA3E7D3C7C8FFE819"
"Project\escobar 1.0\server.py","5383","2026-01-24T10:35:01.1109536Z","C7F63711B46867977FA66FDA1BA200F61ED26FEFDC9CAAB632180F054C7E393C"
"Project\escobar 1.0\start-transfer.bat","68","2026-01-24T10:20:20.9404036Z","052EE03D3E1A03E8472C656F549EFF3695FB3A433280918DF9C9916E8493820E"
"Project\escobar-2.0\.github\workflows\build-windows.yml","733","2026-01-31T11:29:06.5790074Z","075A98858F007574501907A1DBBF1EB48757202CD8740039B0EC32C649917E66"
"Project\escobar-2.0\.gitignore","78","2026-01-31T11:29:32.0468214Z","4C6AAAD5EB10F0D3F0C11999112A2EEC1C9D3D8038FD40626AC4E437271D2F64"
"Project\escobar-2.0\app\main.py","4759","2026-01-31T13:37:37.5873690Z","BF95946A9695C59BAD21996C660A1CF40A75CB3D7CB8227B1ABC0087A3742367"
"Project\escobar-2.0\app\net.py","514","2026-01-31T11:24:40.8192727Z","EF6B541D28FABE5760D5AC9E8D0180F5106483273792B538F38E7FB802AE7E04"
"Project\escobar-2.0\app\settings.py","685","2026-01-31T11:23:55.1401942Z","15E505443348D9CD1E0166DD0DD04462F512EFC3848890683E15D515F94BDEBB"
"Project\escobar-2.0\app\tray.py","723","2026-01-31T13:04:32.5443626Z","483CC4413341A840F2C57D548A7711FD40E21E673F1AE051BE40B71B245E20C4"
"Project\escobar-2.0\Escobar2.spec","734","2026-01-31T13:43:19.8604668Z","EBA4B6FB8625380C55B63A70BF263952695F851C10F5E713077735D46F5FF08F"
"Project\escobar-2.0\LICENSE","1092","2026-01-31T11:40:43.5779058Z","EADCBD885D7E5E1441718457AA75F6C26E584184760FFEC89C4B3C21B3EC5DB0"
